Results for n = 2:
  Run         n    W  Result               Time (s)
-----  --------  ---  -----------------  ----------
    1  2.000000  732  (1, 376, [2])        0.000011
    2  2.000000  923  (2, 804, [1, 1])     0.000006
    3  2.000000  999  (2, 850, [1, 1])     0.000005
    4  2.000000  932  (2, 1637, [1, 1])    0.000005
    5  2.000000  616  (1, 952, [2])        0.000006
    6  2.000000  504  (2, 558, [1, 1])     0.000005
    7  2.000000  908  (2, 590, [1, 1])     0.000005
    8  2.000000  787  (1, 310, [2])        0.000005
    9  2.000000  569  (2, 971, [1, 1])     0.000004
   10  2.000000  680  (2, 1193, [1, 1])    0.000004
   11  2.000000  741  (1, 772, [2])        0.000006
   12  2.000000  654  (2, 1021, [1, 1])    0.000005
   13  2.000000  643  (1, 931, [2])        0.000012
   14  2.000000  955  (2, 1394, [1, 1])    0.000005
   15  2.000000  617  (2, 929, [1, 1])     0.000004
   16  2.000000  835  (1, 485, [2])        0.000006
   17  2.000000  946  (1, 334, [2])        0.000005
   18  2.000000  581  (2, 477, [1, 1])     0.000005
   19  2.000000  982  (2, 952, [1, 1])     0.000005
   20  2.000000  527  (2, 696, [1, 1])     0.000004
   21  2.000000  500  (1, 518, [2])        0.000006
   22  2.000000  907  (1, 518, [2])        0.000005
   23  2.000000  610  (2, 1326, [1, 1])    0.000004
   24  2.000000  951  (1, 623, [2])        0.000005
   25  2.000000  532  (1, 713, [2])        0.000006

--------------------------------------------------------------------------------

Results for n = 4:
  Run         n    W  Result                     Time (s)
-----  --------  ---  -----------------------  ----------
    1  4.000000  715  (4, 1699, [1, 1, 1, 1])    0.000011
    2  4.000000  716  (3, 2107, [2, 1, 1])       0.000010
    3  4.000000  746  (2, 1092, [2, 2])          0.000012
    4  4.000000  579  (4, 1795, [1, 1, 1, 1])    0.000006
    5  4.000000  759  (3, 1191, [1, 2, 1])       0.000009
    6  4.000000  830  (3, 2097, [2, 1, 1])       0.000008
    7  4.000000  512  (3, 1248, [1, 1, 2])       0.000007
    8  4.000000  834  (3, 1128, [1, 2, 1])       0.000018
    9  4.000000  588  (3, 1238, [1, 2, 1])       0.000010
   10  4.000000  657  (3, 2322, [1, 2, 1])       0.000008
   11  4.000000  893  (3, 2756, [1, 2, 1])       0.000007
   12  4.000000  952  (3, 959, [1, 1, 2])        0.000007
   13  4.000000  803  (3, 1415, [2, 1, 1])       0.000014
   14  4.000000  504  (2, 1261, [1, 3])          0.000018
   15  4.000000  977  (2, 1247, [1, 3])          0.000018
   16  4.000000  624  (4, 1600, [1, 1, 1, 1])    0.000006
   17  4.000000  535  (3, 1697, [2, 1, 1])       0.000008
   18  4.000000  942  (1, 769, [4])              0.000031
   19  4.000000  902  (3, 1340, [2, 1, 1])       0.000010
   20  4.000000  844  (3, 1245, [1, 1, 2])       0.000012
   21  4.000000  839  (3, 2091, [1, 1, 2])       0.000011
   22  4.000000  526  (4, 1539, [1, 1, 1, 1])    0.000013
   23  4.000000  860  (3, 1535, [2, 1, 1])       0.000018
   24  4.000000  749  (3, 883, [1, 2, 1])        0.000019
   25  4.000000  613  (1, 735, [4])              0.000031

--------------------------------------------------------------------------------

Results for n = 6:
  Run         n    W  Result                           Time (s)
-----  --------  ---  -----------------------------  ----------
    1  6.000000  513  (6, 3727, [1, 1, 1, 1, 1, 1])    0.000008
    2  6.000000  613  (5, 3144, [1, 2, 1, 1, 1])       0.000011
    3  6.000000  913  (4, 2742, [2, 1, 2, 1])          0.000015
    4  6.000000  597  (4, 1933, [2, 1, 1, 2])          0.000025
    5  6.000000  822  (3, 1867, [3, 2, 1])             0.000046
    6  6.000000  682  (4, 1489, [1, 3, 1, 1])          0.000040
