Results for n = 50:
  Run          n    W  Result                                                                                                                                Time (s)
-----  ---------  ---  ----------------------------------------------------------------------------------------------------------------------------------  ----------
    1  50.000000  797  (32, 17193, [1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 4, 1, 1, 2, 1, 2, 3, 1, 1, 1, 1, 1, 2, 1, 2, 2, 3, 3])                         0.090208
    2  50.000000  722  (37, 23056, [1, 1, 3, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2])          0.075512
    3  50.000000  902  (34, 18674, [2, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 2, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 2])                   0.093437
    4  50.000000  683  (35, 17860, [1, 1, 2, 1, 3, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 1, 1, 1, 1, 1, 1, 3, 3])                0.077309
    5  50.000000  844  (35, 21451, [2, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 1, 3])                0.060905
    6  50.000000  562  (35, 18892, [2, 2, 1, 1, 1, 1, 3, 3, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 2])                0.061748
    7  50.000000  878  (34, 18906, [1, 2, 1, 3, 3, 1, 2, 1, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 3, 1, 2, 1, 1, 2, 1])                   0.096339
    8  50.000000  525  (34, 18547, [1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 3, 1, 1, 2, 1, 1, 3, 2, 2])                   0.067459
    9  50.000000  999  (31, 18614, [2, 1, 2, 1, 3, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 4, 1, 3, 2, 2, 1, 1, 1, 1, 4, 2, 2, 1, 1, 1])                            0.106373
   10  50.000000  652  (36, 18638, [1, 1, 1, 1, 1, 1, 1, 2, 3, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 3, 2, 2, 2, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1])             0.052826
   11  50.000000  722  (33, 17910, [2, 2, 2, 3, 2, 3, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1])                      0.082585
   12  50.000000  687  (36, 19027, [4, 2, 2, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 1, 1, 1])             0.079024
   13  50.000000  848  (36, 18459, [1, 1, 1, 2, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 2, 1, 1, 2, 1, 1, 2, 1, 3, 1])             0.091023
   14  50.000000  980  (30, 15681, [3, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 6, 4, 1, 3, 1, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1])                               0.118151
   15  50.000000  705  (34, 17380, [1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 4, 2, 1, 2, 1, 3, 2, 1, 1, 1, 2, 1, 1, 4, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1])                   0.063781
   16  50.000000  821  (31, 17669, [3, 1, 1, 1, 3, 2, 3, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 2, 1, 2, 2, 1, 1, 3])                            0.086775
   17  50.000000  637  (37, 21178, [1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 4, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 3, 1, 1, 1, 2])          0.067994
   18  50.000000  596  (39, 20260, [1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 3, 1, 1, 2, 1, 2, 2])    0.065981
   19  50.000000  510  (29, 17227, [1, 2, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 4, 1, 2, 2, 1, 1, 2, 2, 3, 1, 2, 2, 1, 2, 3, 1])                                  0.039982
   20  50.000000  579  (37, 20846, [2, 2, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1])          0.064460
   21  50.000000  855  (34, 17571, [2, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 4, 1, 2, 1, 1, 2, 1, 2, 2, 2, 1, 1, 3, 1, 1, 1, 2])                   0.091986
   22  50.000000  664  (32, 17291, [1, 2, 1, 1, 1, 2, 1, 4, 1, 2, 1, 1, 1, 1, 2, 1, 1, 4, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 4])                         0.051640
   23  50.000000  551  (28, 14608, [1, 2, 4, 1, 2, 1, 1, 1, 2, 3, 1, 2, 1, 3, 2, 1, 1, 3, 1, 2, 1, 4, 1, 3, 1, 1, 2, 2])                                     0.068788
   24  50.000000  813  (31, 17048, [3, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 3, 1, 2, 1, 1, 3, 1, 3])                            0.087734
   25  50.000000  785  (36, 19028, [1, 1, 1, 1, 4, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1])             0.082268

--------------------------------------------------------------------------------

Results for n = 100:
  Run           n    W  Result                                                                                                                                                                                                                                            Time (s)
-----  ----------  ---  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  ----------
    1  100.000000  631  (75, 40349, [2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 3, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 2, 1, 1, 1, 2])    0.121953
